"date","code","delta","value"
2005-06-22,RUB,-2505,23246.32999999993
2005-06-23,RUB,-177,23069.32999999993
2005-06-25,RUB,-6593,16476.32999999993
2005-06-26,RUB,-684,15792.329999999929
2005-06-27,RUB,-160,15632.329999999929
2005-06-28,RUB,-660,14972.329999999929
2005-06-29,RUB,-4860,10112.329999999929
2005-06-30,RUB,-676,9436.329999999929
2005-07-03,RUB,-3500,5936.329999999929
2005-07-04,RUB,-2061,3875.329999999929
2005-07-05,RUB,33336,37211.32999999993
2005-07-06,RUB,-217,36994.32999999993
2005-07-08,RUB,-519,36475.32999999993
2005-07-09,RUB,-1808,34667.32999999993
2005-07-10,RUB,-1940,32727.32999999993
2005-07-13,RUB,-320,32407.32999999993
2005-07-14,RUB,-7260,25147.32999999993
2005-07-15,RUB,-290,24857.32999999993
2005-07-16,RUB,-1000,23857.32999999993
2005-07-17,RUB,-2335,21522.32999999993
2005-07-20,RUB,-3400,18122.32999999993
2005-07-21,RUB,-2765,15357.329999999929
2005-07-22,RUB,-1400,13957.329999999929
2005-07-23,RUB,-8760,5197.329999999929
2005-07-28,RUB,-3350,1847.329999999929
2005-08-01,RUB,46239.93,48087.25999999993
2005-08-04,RUB,59000,107087.25999999992
2005-08-07,RUB,-2990,104097.25999999992
2005-08-12,RUB,-4894,99203.25999999992
2005-08-13,RUB,-3056,96147.25999999992
2005-08-15,RUB,-6020,90127.25999999992
2005-08-17,RUB,-240,89887.25999999992
2005-08-19,RUB,-1310,88577.25999999992
2005-08-21,RUB,-100,88477.25999999992
2005-08-22,RUB,-480,87997.25999999992
2005-08-23,RUB,-3200,84797.25999999992
2005-08-24,RUB,-150,84647.25999999992
2005-08-25,RUB,-840,83807.25999999992
2005-08-26,RUB,-3080,80727.25999999992
2005-08-27,RUB,-290,80437.25999999992
2005-08-29,RUB,-1030,79407.25999999992
2005-08-30,RUB,-2085,77322.25999999992
2005-08-31,RUB,-435,76887.25999999992
2005-09-01,RUB,46051,122938.25999999992
2005-09-02,RUB,-810,122128.25999999992
2005-09-04,RUB,-5750,116378.25999999992
2005-09-05,RUB,-779,115599.25999999992
2005-09-06,RUB,-2586,113013.25999999992
2005-09-07,RUB,-3025,109988.25999999992
2005-09-08,RUB,-1180,108808.25999999992
2005-09-09,RUB,-1200,107608.25999999992
2005-09-10,RUB,-916,106692.25999999992
2005-09-11,RUB,-328,106364.25999999992
2005-09-12,RUB,-2046,104318.25999999992
2005-09-14,RUB,-2380,101938.25999999992
2005-09-16,RUB,-180,101758.25999999992
2005-09-17,RUB,-730,101028.25999999992
2005-09-18,RUB,-1090,99938.25999999992
2005-09-20,RUB,-780,99158.25999999992
2005-09-23,RUB,-1000,98158.25999999992
2005-09-24,RUB,-680,97478.25999999992
2005-09-25,RUB,-640,96838.25999999992
2005-09-26,RUB,-30580,66258.25999999992
2005-09-27,RUB,-200,66058.25999999992
2005-09-30,RUB,-430,65628.25999999992
2005-10-01,RUB,-90,65538.25999999992
2005-10-02,RUB,-4310,61228.25999999992
2005-10-03,RUB,-520,60708.25999999992
2005-10-04,RUB,46153.81,106862.06999999992
2005-10-07,RUB,3820,110682.06999999992
2005-10-08,RUB,-2830,107852.06999999992
2005-10-09,RUB,-1890,105962.06999999992
2005-10-10,RUB,-200,105762.06999999992
2005-10-11,RUB,-220,105542.06999999992
2005-10-12,RUB,-2248,103294.06999999992
2005-10-15,RUB,-21502,81792.06999999992
2005-10-16,RUB,-68990,12802.06999999992
2005-10-17,RUB,-320,12482.06999999992
2005-10-21,RUB,-500,11982.06999999992
2005-10-22,RUB,-530,11452.06999999992
2005-10-23,RUB,-220,11232.06999999992
2005-10-24,RUB,-100,11132.06999999992
2005-10-25,RUB,-990,10142.06999999992
2005-10-26,RUB,-390,9752.06999999992
2005-10-28,RUB,-2300,7452.06999999992
2005-10-29,RUB,-1703,5749.06999999992
2005-10-30,RUB,-880,4869.06999999992
2005-11-01,RUB,45201,50070.06999999992
2005-11-03,RUB,-1420,48650.06999999992
2005-11-04,RUB,-837,47813.06999999992
2005-11-05,RUB,-260,47553.06999999992
2005-11-06,RUB,-9100,38453.06999999992
2005-11-07,RUB,-3330,35123.06999999992
2005-11-08,RUB,-1200,33923.06999999992
2005-11-09,RUB,-620,33303.06999999992
2005-11-10,RUB,-3000,30303.06999999992
2005-11-12,RUB,-1630,28673.06999999992
2005-11-13,RUB,-460,28213.06999999992
2005-11-14,RUB,-350,27863.06999999992
2005-11-15,RUB,-390,27473.06999999992
2005-11-17,RUB,-351,27122.06999999992
2005-11-18,RUB,-13569,13553.06999999992
2005-11-19,RUB,-1880,11673.06999999992
